"importId","code","name","accountType.name","company.code","description"
1,"Woocommerce Clearing","Woocommerce Clearing","Bank","KS",
2,11100,"11100 · Company Checking Account","Bank","KS","Company Checking Account"
3,11200,"11200 · Company Savings Account","Bank","KS",
4,11400,"11400 · Petty Cash Account","Bank","KS",
5,11600,"11600 · Payroll Clearing","Bank","KS","May Not be Needed"
6,12100,"12100 · Accounts Receivable","Accounts Receivable","KS","DO NOT MODIFY WITHOUT CHANGING FROM DEFAULT IN FISHBOWL INVENTORY. DO NOT MODIFY WITHOUT CHANGING FROM DEFAULT IN FISHBOWL INVENTORY. DO NOT MODIFY WITHOUT CHANGING FROM DEFAULT IN FISHBOWL INVENTORY."
7,"Cost Variance","Cost Variance","Other Current Asset","KS","DO NOT MODIFY WITHOUT CHANGING FROM DEFAULT IN FISHBOWL INVENTORY. DO NOT MODIFY WITHOUT CHANGING FROM DEFAULT IN FISHBOWL INVENTORY. DO NOT MODIFY WITHOUT CHANGING FROM DEFAULT IN FISHBOWL INVENTORY."
8,11210,"11210 · Inventory Asset","Other Current Asset","KS","DO NOT MODIFY WITHOUT CHANGING FROM DEFAULT IN FISHBOWL INVENTORY. DO NOT MODIFY WITHOUT CHANGING FROM DEFAULT IN FISHBOWL INVENTORY. DO NOT MODIFY WITHOUT CHANGING FROM DEFAULT IN FISHBOWL INVENTORY."
9,12000,"12000 · Undeposited Funds","Other Current Asset","KS","DO NOT MODIFY WITHOUT CHANGING FROM DEFAULT IN FISHBOWL INVENTORY. DO NOT MODIFY WITHOUT CHANGING FROM DEFAULT IN FISHBOWL INVENTORY. DO NOT MODIFY WITHOUT CHANGING FROM DEFAULT IN FISHBOWL INVENTORY."
10,12101,"12101 · *Inventory Asset","Other Current Asset","KS","Costs of inventory purchased for resale"
11,12500,"12500 · Prepaids","Other Current Asset","KS",
12,12520,"12520 · Prepaid Taxes","Other Current Asset","KS",
13,12550,"12550 · Prepaid Insurance","Other Current Asset","KS",
14,13100,"13100 · Employee Advances","Other Current Asset","KS",
15,13300,"13300 · Security Deposits","Other Current Asset","KS",
16,"Capital Equipment","Capital Equipment","Fixed Asset","KS","DO NOT MODIFY WITHOUT CHANGING FROM DEFAULT IN FISHBOWL INVENTORY. DO NOT MODIFY WITHOUT CHANGING FROM DEFAULT IN FISHBOWL INVENTORY. DO NOT MODIFY WITHOUT CHANGING FROM DEFAULT IN FISHBOWL INVENTORY."
17,15000,"15000 · Furniture and Equipment","Fixed Asset","KS","Furniture and equipment with useful life exceeding one year"
18,15100,"15100 · Automobiles & Trucks","Fixed Asset","KS",
19,15200,"15200 · Computer & Office Equipment","Fixed Asset","KS",
20,15300,"15300 · Machinery & Equipment","Fixed Asset","KS",
21,16300,"16300 · Tractors and Trailers","Fixed Asset","KS","Tractors, trailers, and other delivery vehicles"
22,16500,"16500 · Warehouse Equipment","Fixed Asset","KS","Shelving (not permanently attached), forklifts, and other warehouse equipment"
23,17000,"17000 · Accumulated Depreciation","Fixed Asset","KS","Accumulated depreciation on equipment, buildings and improvements"
24,20100,"20100 · Accounts Payable","Accounts Payable","KS","DO NOT MODIFY WITHOUT CHANGING FROM DEFAULT IN FISHBOWL INVENTORY. DO NOT MODIFY WITHOUT CHANGING FROM DEFAULT IN FISHBOWL INVENTORY. DO NOT MODIFY WITHOUT CHANGING FROM DEFAULT IN FISHBOWL INVENTORY."
25,20500,"20500 · QuickBooks Credit Card","Credit Card","KS",
26,"Shipping Accrual","Shipping Accrual","Other Current Liability","KS","DO NOT MODIFY WITHOUT CHANGING FROM DEFAULT IN FISHBOWL INVENTORY. DO NOT MODIFY WITHOUT CHANGING FROM DEFAULT IN FISHBOWL INVENTORY. DO NOT MODIFY WITHOUT CHANGING FROM DEFAULT IN FISHBOWL INVENTORY."
27,21000,"21000 · Payroll Liabilities","Other Current Liability","KS","Unpaid payroll liabilities. Amounts withheld or accrued, but not yet paid"
28,21100,"21100 · SEC125 Payable","Other Current Liability","KS",
29,21200,"21200 · 401K Payable","Other Current Liability","KS",
30,21300,"21300 · Payroll Taxes Payable","Other Current Liability","KS",
31,22000,"22000 · Customer Deposits","Other Current Liability","KS",
32,24100,"24100 · Line of Credit","Other Current Liability","KS",
33,25500,"25500 · Sales Tax Payable","Other Current Liability","KS","Unpaid sales taxes. Amounts charged on sales, but not yet paid to the government"
34,24600,"24600 · Auto Loan","Long Term Liability","KS",
35,30000,"30000 · Opening Balance Equity","Equity","KS","Opening balances during setup post to this account. The balance of this account should be zero after completing your setup"
