"importId","name","country.alpha3Code","code"
1,"PR","AAA","PR"
2,"VI","AAA","VI"
3,"MA","AAA","MA"
4,"RI","USA","RI"
5,"NH","USA","NH"
6,"ME","USA","ME"
7,"VT","USA","VT"
8,"CT","USA","CT"
9,"NJ","USA","NJ"
10,"NY","USA","NY"
11,"PA","USA","PA"
12,"DE","USA","DE"
13,"DC","USA","DC"
14,"VA","USA","VA"
15,"MD","USA","MD"
16,"WV","USA","WV"
17,"NC","USA","NC"
18,"SC","USA","SC"
19,"GA","USA","GA"
20,"FL","USA","FL"
21,"AL","USA","AL"
22,"TN","USA","TN"
23,"MS","USA","MS"
24,"KY","USA","KY"
25,"OH","USA","OH"
26,"IN","USA","IN"
27,"MI","USA","MI"
28,"IA","USA","IA"
29,"WI","USA","WI"
30,"MN","USA","MN"
31,"SD","USA","SD"
32,"ND","USA","ND"
33,"MT","USA","MT"
34,"IL","USA","IL"
35,"MO","USA","MO"
36,"KS","USA","KS"
37,"NE","USA","NE"
38,"LA","USA","LA"
39,"AR","USA","AR"
40,"OK","USA","OK"
41,"TX","USA","TX"
42,"CO","USA","CO"
43,"WY","USA","WY"
44,"ID","USA","ID"
45,"UT","USA","UT"
46,"AZ","USA","AZ"
47,"NM","USA","NM"
48,"NV","USA","NV"
49,"CA","USA","CA"
50,"HI","USA","HI"
51,"GU","USA","GU"
52,"OR","USA","OR"
53,"WA","USA","WA"
54,"AK","USA","AK"
