"importId","code","name","region.code"
1,"Adjuntas Municipio_PR","Adjuntas Municipio","PR"
2,"Aguada Municipio_PR","Aguada Municipio","PR"
3,"Aguadilla Municipio_PR","Aguadilla Municipio","PR"
4,"Maricao Municipio_PR","Maricao Municipio","PR"
5,"Añasco Municipio_PR","Añasco Municipio","PR"
6,"Arecibo Municipio_PR","Arecibo Municipio","PR"
7,"Barceloneta Municipio_PR","Barceloneta Municipio","PR"
8,"Cabo Rojo Municipio_PR","Cabo Rojo Municipio","PR"
9,"Peñuelas Municipio_PR","Peñuelas Municipio","PR"
10,"Camuy Municipio_PR","Camuy Municipio","PR"
11,"Sabana Grande Municipio_PR","Sabana Grande Municipio","PR"
12,"Ciales Municipio_PR","Ciales Municipio","PR"
13,"Utuado Municipio_PR","Utuado Municipio","PR"
14,"Dorado Municipio_PR","Dorado Municipio","PR"
15,"Guánica Municipio_PR","Guánica Municipio","PR"
16,"Florida Municipio_PR","Florida Municipio","PR"
17,"Guayanilla Municipio_PR","Guayanilla Municipio","PR"
18,"Hatillo Municipio_PR","Hatillo Municipio","PR"
19,"Hormigueros Municipio_PR","Hormigueros Municipio","PR"
20,"Isabela Municipio_PR","Isabela Municipio","PR"
21,"Jayuya Municipio_PR","Jayuya Municipio","PR"
22,"Lajas Municipio_PR","Lajas Municipio","PR"
23,"Lares Municipio_PR","Lares Municipio","PR"
24,"Las Marías Municipio_PR","Las Marías Municipio","PR"
25,"Manatí Municipio_PR","Manatí Municipio","PR"
26,"Moca Municipio_PR","Moca Municipio","PR"
27,"Rincón Municipio_PR","Rincón Municipio","PR"
28,"Quebradillas Municipio_PR","Quebradillas Municipio","PR"
29,"Mayagüez Municipio_PR","Mayagüez Municipio","PR"
30,"San Germán Municipio_PR","San Germán Municipio","PR"
31,"San Sebastián Municipio_PR","San Sebastián Municipio","PR"
32,"Morovis Municipio_PR","Morovis Municipio","PR"
33,"Vega Alta Municipio_PR","Vega Alta Municipio","PR"
34,"Vega Baja Municipio_PR","Vega Baja Municipio","PR"
35,"Yauco Municipio_PR","Yauco Municipio","PR"
36,"Aguas Buenas Municipio_PR","Aguas Buenas Municipio","PR"
37,"Salinas Municipio_PR","Salinas Municipio","PR"
38,"Aibonito Municipio_PR","Aibonito Municipio","PR"
39,"Maunabo Municipio_PR","Maunabo Municipio","PR"
