"importId","name","code","country.alpha3Code","department.code"
1,"Adjuntas","Adjuntas_Adjuntas Municipio_PR","USA","Adjuntas Municipio_PR"
2,"Aguada","Aguada_Aguada Municipio_PR","USA","Aguada Municipio_PR"
3,"Aguadilla","Aguadilla_Aguadilla Municipio_PR","USA","Aguadilla Municipio_PR"
4,"Maricao","Maricao_Maricao Municipio_PR","USA","Maricao Municipio_PR"
5,"Anasco","Anasco_Añasco Municipio_PR","USA","Añasco Municipio_PR"
6,"Arecibo","Arecibo_Arecibo Municipio_PR","USA","Arecibo Municipio_PR"
7,"Bajadero","Bajadero_Arecibo Municipio_PR","USA","Arecibo Municipio_PR"
8,"Barceloneta","Barceloneta_Barceloneta Municipio_PR","USA","Barceloneta Municipio_PR"
9,"Boqueron","Boqueron_Cabo Rojo Municipio_PR","USA","Cabo Rojo Municipio_PR"
10,"Cabo Rojo","Cabo Rojo_Cabo Rojo Municipio_PR","USA","Cabo Rojo Municipio_PR"
11,"Penuelas","Penuelas_Peñuelas Municipio_PR","USA","Peñuelas Municipio_PR"
12,"Camuy","Camuy_Camuy Municipio_PR","USA","Camuy Municipio_PR"
13,"Sabana Grande","Sabana Grande_Sabana Grande Municipio_PR","USA","Sabana Grande Municipio_PR"
14,"Ciales","Ciales_Ciales Municipio_PR","USA","Ciales Municipio_PR"
15,"Utuado","Utuado_Utuado Municipio_PR","USA","Utuado Municipio_PR"
16,"Dorado","Dorado_Dorado Municipio_PR","USA","Dorado Municipio_PR"
17,"Ensenada","Ensenada_Guánica Municipio_PR","USA","Guánica Municipio_PR"
18,"Florida","Florida_Florida Municipio_PR","USA","Florida Municipio_PR"
19,"Garrochales","Garrochales_Arecibo Municipio_PR","USA","Arecibo Municipio_PR"
20,"Guanica","Guanica_Guánica Municipio_PR","USA","Guánica Municipio_PR"
21,"Guayanilla","Guayanilla_Guayanilla Municipio_PR","USA","Guayanilla Municipio_PR"
22,"Hatillo","Hatillo_Hatillo Municipio_PR","USA","Hatillo Municipio_PR"
23,"Hormigueros","Hormigueros_Hormigueros Municipio_PR","USA","Hormigueros Municipio_PR"
24,"Isabela","Isabela_Isabela Municipio_PR","USA","Isabela Municipio_PR"
25,"Jayuya","Jayuya_Jayuya Municipio_PR","USA","Jayuya Municipio_PR"
26,"Lajas","Lajas_Lajas Municipio_PR","USA","Lajas Municipio_PR"
27,"Lares","Lares_Lares Municipio_PR","USA","Lares Municipio_PR"
28,"Las Marias","Las Marias_Las Marías Municipio_PR","USA","Las Marías Municipio_PR"
29,"Manati","Manati_Manatí Municipio_PR","USA","Manatí Municipio_PR"
30,"Moca","Moca_Moca Municipio_PR","USA","Moca Municipio_PR"
31,"Rincon","Rincon_Rincón Municipio_PR","USA","Rincón Municipio_PR"
32,"Quebradillas","Quebradillas_Quebradillas Municipio_PR","USA","Quebradillas Municipio_PR"
33,"Mayaguez","Mayaguez_Mayagüez Municipio_PR","USA","Mayagüez Municipio_PR"
34,"Mayaguez","Mayaguez_Mayagüez Municipio_PR","USA","Mayagüez Municipio_PR"
35,"San German","San German_San Germán Municipio_PR","USA","San Germán Municipio_PR"
36,"San Sebastian","San Sebastian_San Sebastián Municipio_PR","USA","San Sebastián Municipio_PR"
37,"Morovis","Morovis_Morovis Municipio_PR","USA","Morovis Municipio_PR"
38,"Sabana Hoyos","Sabana Hoyos_Arecibo Municipio_PR","USA","Arecibo Municipio_PR"
39,"San Antonio","San Antonio_Aguadilla Municipio_PR","USA","Aguadilla Municipio_PR"
40,"Vega Alta","Vega Alta_Vega Alta Municipio_PR","USA","Vega Alta Municipio_PR"
41,"Vega Baja","Vega Baja_Vega Baja Municipio_PR","USA","Vega Baja Municipio_PR"
42,"Yauco","Yauco_Yauco Municipio_PR","USA","Yauco Municipio_PR"
43,"Aguas Buenas","Aguas Buenas_Aguas Buenas Municipio_PR","USA","Aguas Buenas Municipio_PR"
44,"Aguirre","Aguirre_Salinas Municipio_PR","USA","Salinas Municipio_PR"
45,"Aibonito","Aibonito_Aibonito Municipio_PR","USA","Aibonito Municipio_PR"
46,"Maunabo","Maunabo_Maunabo Municipio_PR","USA","Maunabo Municipio_PR"
47,"Arroyo","Arroyo_Arroyo Municipio_PR","USA","Arroyo Municipio_PR"
48,"Mercedita","Mercedita_Ponce Municipio_PR","USA","Ponce Municipio_PR"
49,"Ponce","Ponce_Ponce Municipio_PR","USA","Ponce Municipio_PR"
50,"Ponce","Ponce_Ponce Municipio_PR","USA","Ponce Municipio_PR"
51,"Naguabo","Naguabo_Naguabo Municipio_PR","USA","Naguabo Municipio_PR"
52,"Naranjito","Naranjito_Naranjito Municipio_PR","USA","Naranjito Municipio_PR"
53,"Orocovis","Orocovis_Orocovis Municipio_PR","USA","Orocovis Municipio_PR"
54,"Patillas","Patillas_Patillas Municipio_PR","USA","Patillas Municipio_PR"
55,"Caguas","Caguas_Caguas Municipio_PR","USA","Caguas Municipio_PR"
56,"Caguas","Caguas_Caguas Municipio_PR","USA","Caguas Municipio_PR"
57,"Ponce","Ponce_Ponce Municipio_PR","USA","Ponce Municipio_PR"
