"importId","name","code","country.alpha3Code","department.code"
22001,"Funk","Funk_Phelps County_NE","USA","Phelps County_NE"
22002,"Glenvil","Glenvil_Clay County_NE","USA","Clay County_NE"
22003,"Guide Rock","Guide Rock_Webster County_NE","USA","Webster County_NE"
22004,"Hardy","Hardy_Nuckolls County_NE","USA","Nuckolls County_NE"
22005,"Harvard","Harvard_Clay County_NE","USA","Clay County_NE"
22006,"Heartwell","Heartwell_Kearney County_NE","USA","Kearney County_NE"
22007,"Hendley","Hendley_Furnas County_NE","USA","Furnas County_NE"
22008,"Hildreth","Hildreth_Franklin County_NE","USA","Franklin County_NE"
22009,"Holbrook","Holbrook_Furnas County_NE","USA","Furnas County_NE"
22010,"Holdrege","Holdrege_Phelps County_NE","USA","Phelps County_NE"
22011,"Holstein","Holstein_Adams County_NE","USA","Adams County_NE"
22012,"Inavale","Inavale_Webster County_NE","USA","Webster County_NE"
22013,"Inland","Inland_Clay County_NE","USA","Clay County_NE"
22014,"Juniata","Juniata_Adams County_NE","USA","Adams County_NE"
22015,"Kenesaw","Kenesaw_Adams County_NE","USA","Adams County_NE"
22016,"Lawrence","Lawrence_Nuckolls County_NE","USA","Nuckolls County_NE"
22017,"Loomis","Loomis_Phelps County_NE","USA","Phelps County_NE"
22018,"Minden","Minden_Kearney County_NE","USA","Kearney County_NE"
22019,"Naponee","Naponee_Franklin County_NE","USA","Franklin County_NE"
22020,"Nelson","Nelson_Nuckolls County_NE","USA","Nuckolls County_NE"
22021,"Oak","Oak_Nuckolls County_NE","USA","Nuckolls County_NE"
22022,"Orleans","Orleans_Harlan County_NE","USA","Harlan County_NE"
22023,"Oxford","Oxford_Furnas County_NE","USA","Furnas County_NE"
22024,"Red Cloud","Red Cloud_Webster County_NE","USA","Webster County_NE"
22025,"Republican City","Republican City_Harlan County_NE","USA","Harlan County_NE"
22026,"Riverton","Riverton_Franklin County_NE","USA","Franklin County_NE"
22027,"Roseland","Roseland_Adams County_NE","USA","Adams County_NE"
22028,"Ruskin","Ruskin_Nuckolls County_NE","USA","Nuckolls County_NE"
22029,"Saronville","Saronville_Clay County_NE","USA","Clay County_NE"
22030,"Smithfield","Smithfield_Gosper County_NE","USA","Gosper County_NE"
22031,"Stamford","Stamford_Harlan County_NE","USA","Harlan County_NE"
22032,"Superior","Superior_Nuckolls County_NE","USA","Nuckolls County_NE"
22033,"Sutton","Sutton_Clay County_NE","USA","Clay County_NE"
22034,"Trumbull","Trumbull_Clay County_NE","USA","Clay County_NE"
22035,"Upland","Upland_Franklin County_NE","USA","Franklin County_NE"
22036,"Wilcox","Wilcox_Kearney County_NE","USA","Kearney County_NE"
22037,"Mc Cook","Mc Cook_Red Willow County_NE","USA","Red Willow County_NE"
22038,"Bartley","Bartley_Red Willow County_NE","USA","Red Willow County_NE"
22039,"Benkelman","Benkelman_Dundy County_NE","USA","Dundy County_NE"
22040,"Cambridge","Cambridge_Furnas County_NE","USA","Furnas County_NE"
22041,"Champion","Champion_Chase County_NE","USA","Chase County_NE"
22042,"Culbertson","Culbertson_Hitchcock County_NE","USA","Hitchcock County_NE"
22043,"Curtis","Curtis_Frontier County_NE","USA","Frontier County_NE"
22044,"Danbury","Danbury_Red Willow County_NE","USA","Red Willow County_NE"
22045,"Enders","Enders_Chase County_NE","USA","Chase County_NE"
22046,"Eustis","Eustis_Frontier County_NE","USA","Frontier County_NE"
22047,"Farnam","Farnam_Dawson County_NE","USA","Dawson County_NE"
22048,"Haigler","Haigler_Dundy County_NE","USA","Dundy County_NE"
22049,"Hayes Center","Hayes Center_Hayes County_NE","USA","Hayes County_NE"
22050,"Imperial","Imperial_Chase County_NE","USA","Chase County_NE"
22051,"Indianola","Indianola_Red Willow County_NE","USA","Red Willow County_NE"
22052,"Lebanon","Lebanon_Red Willow County_NE","USA","Red Willow County_NE"
22053,"Max","Max_Dundy County_NE","USA","Dundy County_NE"
22054,"Maywood","Maywood_Frontier County_NE","USA","Frontier County_NE"
22055,"Moorefield","Moorefield_Frontier County_NE","USA","Frontier County_NE"
22056,"Palisade","Palisade_Hitchcock County_NE","USA","Hitchcock County_NE"
22057,"Parks","Parks_Dundy County_NE","USA","Dundy County_NE"
22058,"Stockville","Stockville_Frontier County_NE","USA","Frontier County_NE"
22059,"Stratton","Stratton_Hitchcock County_NE","USA","Hitchcock County_NE"
22060,"Trenton","Trenton_Hitchcock County_NE","USA","Hitchcock County_NE"
22061,"Wauneta","Wauneta_Chase County_NE","USA","Chase County_NE"
22062,"Wilsonville","Wilsonville_Furnas County_NE","USA","Furnas County_NE"
22063,"North Platte","North Platte_Lincoln County_NE","USA","Lincoln County_NE"
22064,"Arnold","Arnold_Custer County_NE","USA","Custer County_NE"
22065,"Arthur","Arthur_Arthur County_NE","USA","Arthur County_NE"
22066,"Big Springs","Big Springs_Deuel County_NE","USA","Deuel County_NE"
22067,"Brady","Brady_Lincoln County_NE","USA","Lincoln County_NE"
22068,"Broadwater","Broadwater_Morrill County_NE","USA","Morrill County_NE"
22069,"Brule","Brule_Keith County_NE","USA","Keith County_NE"
22070,"Bushnell","Bushnell_Kimball County_NE","USA","Kimball County_NE"
22071,"Chappell","Chappell_Deuel County_NE","USA","Deuel County_NE"
22072,"Cozad","Cozad_Dawson County_NE","USA","Dawson County_NE"
22073,"Dalton","Dalton_Cheyenne County_NE","USA","Cheyenne County_NE"
22074,"Dickens","Dickens_Lincoln County_NE","USA","Lincoln County_NE"
22075,"Dix","Dix_Kimball County_NE","USA","Kimball County_NE"
22076,"Elsie","Elsie_Perkins County_NE","USA","Perkins County_NE"
22077,"Elsmere","Elsmere_Cherry County_NE","USA","Cherry County_NE"
22078,"Gothenburg","Gothenburg_Dawson County_NE","USA","Dawson County_NE"
22079,"Grant","Grant_Perkins County_NE","USA","Perkins County_NE"
22080,"Gurley","Gurley_Cheyenne County_NE","USA","Cheyenne County_NE"
22081,"Halsey","Halsey_Thomas County_NE","USA","Thomas County_NE"
22082,"Hershey","Hershey_Lincoln County_NE","USA","Lincoln County_NE"
22083,"Keystone","Keystone_Keith County_NE","USA","Keith County_NE"
22084,"Kimball","Kimball_Kimball County_NE","USA","Kimball County_NE"
22085,"Lemoyne","Lemoyne_Keith County_NE","USA","Keith County_NE"
22086,"Lewellen","Lewellen_Garden County_NE","USA","Garden County_NE"
22087,"Lisco","Lisco_Garden County_NE","USA","Garden County_NE"
22088,"Lodgepole","Lodgepole_Cheyenne County_NE","USA","Cheyenne County_NE"
22089,"Madrid","Madrid_Perkins County_NE","USA","Perkins County_NE"
22090,"Maxwell","Maxwell_Lincoln County_NE","USA","Lincoln County_NE"
22091,"Mullen","Mullen_Hooker County_NE","USA","Hooker County_NE"
22092,"Ogallala","Ogallala_Keith County_NE","USA","Keith County_NE"
22093,"Oshkosh","Oshkosh_Garden County_NE","USA","Garden County_NE"
22094,"Paxton","Paxton_Keith County_NE","USA","Keith County_NE"
22095,"Potter","Potter_Cheyenne County_NE","USA","Cheyenne County_NE"
22096,"Purdum","Purdum_Blaine County_NE","USA","Blaine County_NE"
22097,"Seneca","Seneca_Thomas County_NE","USA","Thomas County_NE"
22098,"Sidney","Sidney_Cheyenne County_NE","USA","Cheyenne County_NE"
22099,"Stapleton","Stapleton_Logan County_NE","USA","Logan County_NE"
22100,"Sutherland","Sutherland_Lincoln County_NE","USA","Lincoln County_NE"
22101,"Thedford","Thedford_Thomas County_NE","USA","Thomas County_NE"
22102,"Tryon","Tryon_McPherson County_NE","USA","McPherson County_NE"
22103,"Venango","Venango_Perkins County_NE","USA","Perkins County_NE"
22104,"Wallace","Wallace_Lincoln County_NE","USA","Lincoln County_NE"
22105,"Wellfleet","Wellfleet_Lincoln County_NE","USA","Lincoln County_NE"
22106,"Willow Island","Willow Island_Dawson County_NE","USA","Dawson County_NE"
22107,"Valentine","Valentine_Cherry County_NE","USA","Cherry County_NE"
22108,"Ainsworth","Ainsworth_Brown County_NE","USA","Brown County_NE"
22109,"Cody","Cody_Cherry County_NE","USA","Cherry County_NE"
22110,"Crookston","Crookston_Cherry County_NE","USA","Cherry County_NE"
22111,"Johnstown","Johnstown_Brown County_NE","USA","Brown County_NE"
22112,"Kilgore","Kilgore_Cherry County_NE","USA","Cherry County_NE"
22113,"Long Pine","Long Pine_Brown County_NE","USA","Brown County_NE"
22114,"Merriman","Merriman_Cherry County_NE","USA","Cherry County_NE"
22115,"Nenzel","Nenzel_Cherry County_NE","USA","Cherry County_NE"
22116,"Sparks","Sparks_Cherry County_NE","USA","Cherry County_NE"
22117,"Wood Lake","Wood Lake_Cherry County_NE","USA","Cherry County_NE"
22118,"Alliance","Alliance_Box Butte County_NE","USA","Box Butte County_NE"
22119,"Angora","Angora_Morrill County_NE","USA","Morrill County_NE"
22120,"Ashby","Ashby_Grant County_NE","USA","Grant County_NE"
22121,"Bayard","Bayard_Morrill County_NE","USA","Morrill County_NE"
22122,"Bingham","Bingham_Sheridan County_NE","USA","Sheridan County_NE"
22123,"Bridgeport","Bridgeport_Morrill County_NE","USA","Morrill County_NE"
22124,"Chadron","Chadron_Dawes County_NE","USA","Dawes County_NE"
22125,"Crawford","Crawford_Dawes County_NE","USA","Dawes County_NE"
22126,"Ellsworth","Ellsworth_Sheridan County_NE","USA","Sheridan County_NE"
22127,"Gering","Gering_Scotts Bluff County_NE","USA","Scotts Bluff County_NE"
22128,"Gordon","Gordon_Sheridan County_NE","USA","Sheridan County_NE"
22129,"Harrisburg","Harrisburg_Banner County_NE","USA","Banner County_NE"
22130,"Harrison","Harrison_Sioux County_NE","USA","Sioux County_NE"
22131,"Hay Springs","Hay Springs_Sheridan County_NE","USA","Sheridan County_NE"
22132,"Hemingford","Hemingford_Box Butte County_NE","USA","Box Butte County_NE"
22133,"Hyannis","Hyannis_Grant County_NE","USA","Grant County_NE"
22134,"Lakeside","Lakeside_Sheridan County_NE","USA","Sheridan County_NE"
22135,"Lyman","Lyman_Scotts Bluff County_NE","USA","Scotts Bluff County_NE"
22136,"Marsland","Marsland_Dawes County_NE","USA","Dawes County_NE"
22137,"Minatare","Minatare_Scotts Bluff County_NE","USA","Scotts Bluff County_NE"
22138,"Mitchell","Mitchell_Scotts Bluff County_NE","USA","Scotts Bluff County_NE"
22139,"Morrill","Morrill_Scotts Bluff County_NE","USA","Scotts Bluff County_NE"
22140,"Rushville","Rushville_Sheridan County_NE","USA","Sheridan County_NE"
22141,"Scottsbluff","Scottsbluff_Scotts Bluff County_NE","USA","Scotts Bluff County_NE"
22142,"Whitman","Whitman_Grant County_NE","USA","Grant County_NE"
22143,"Whitney","Whitney_Dawes County_NE","USA","Dawes County_NE"
22144,"Metairie","Metairie_Jefferson Parish_LA","USA","Jefferson Parish_LA"
22145,"Metairie","Metairie_Jefferson Parish_LA","USA","Jefferson Parish_LA"
22146,"Metairie","Metairie_Jefferson Parish_LA","USA","Jefferson Parish_LA"
22147,"Metairie","Metairie_Jefferson Parish_LA","USA","Jefferson Parish_LA"
22148,"Metairie","Metairie_Jefferson Parish_LA","USA","Jefferson Parish_LA"
22149,"Des Allemands","Des Allemands_St. Charles Parish_LA","USA","St. Charles Parish_LA"
