"importId","code","areaCode","city.code","county.code","state.name","country.alpha3Code"
19999,63118,314,"Saint Louis_St. Louis city_MO","St. Louis city_MO","MO","USA"
20000,63119,314,"Saint Louis_St. Louis County_MO","St. Louis County_MO","MO","USA"
20001,63120,314,"Saint Louis_St. Louis city_MO","St. Louis city_MO","MO","USA"
20002,63121,314,"Saint Louis_St. Louis County_MO","St. Louis County_MO","MO","USA"
20003,63122,314,"Saint Louis_St. Louis County_MO","St. Louis County_MO","MO","USA"
20004,63123,314,"Saint Louis_St. Louis County_MO","St. Louis County_MO","MO","USA"
20005,63124,"3,14,636","Saint Louis_St. Louis County_MO","St. Louis County_MO","MO","USA"
20006,63125,314,"Saint Louis_St. Louis County_MO","St. Louis County_MO","MO","USA"
20007,63126,314,"Saint Louis_St. Louis County_MO","St. Louis County_MO","MO","USA"
20008,63127,314,"Saint Louis_St. Louis County_MO","St. Louis County_MO","MO","USA"
20009,63128,314,"Saint Louis_St. Louis County_MO","St. Louis County_MO","MO","USA"
20010,63129,314,"Saint Louis_St. Louis County_MO","St. Louis County_MO","MO","USA"
20011,63130,314,"Saint Louis_St. Louis County_MO","St. Louis County_MO","MO","USA"
20012,63131,314,"Saint Louis_St. Louis County_MO","St. Louis County_MO","MO","USA"
20013,63132,"6,36,314","Saint Louis_St. Louis County_MO","St. Louis County_MO","MO","USA"
20014,63133,314,"Saint Louis_St. Louis County_MO","St. Louis County_MO","MO","USA"
20015,63134,314,"Saint Louis_St. Louis County_MO","St. Louis County_MO","MO","USA"
20016,63135,314,"Saint Louis_St. Louis County_MO","St. Louis County_MO","MO","USA"
20017,63136,314,"Saint Louis_St. Louis County_MO","St. Louis County_MO","MO","USA"
20018,63137,314,"Saint Louis_St. Louis County_MO","St. Louis County_MO","MO","USA"
20019,63138,314,"Saint Louis_St. Louis County_MO","St. Louis County_MO","MO","USA"
20020,63139,314,"Saint Louis_St. Louis city_MO","St. Louis city_MO","MO","USA"
20021,63140,314,"Saint Louis_St. Louis County_MO","St. Louis County_MO","MO","USA"
20022,63141,"6,36,314","Saint Louis_St. Louis County_MO","St. Louis County_MO","MO","USA"
20023,63143,314,"Saint Louis_St. Louis County_MO","St. Louis County_MO","MO","USA"
20024,63144,314,"Saint Louis_St. Louis County_MO","St. Louis County_MO","MO","USA"
20025,63146,"6,36,314","Saint Louis_St. Louis County_MO","St. Louis County_MO","MO","USA"
20026,63147,314,"Saint Louis_St. Louis city_MO","St. Louis city_MO","MO","USA"
20027,63155,314,"Saint Louis_St. Louis city_MO","St. Louis city_MO","MO","USA"
20028,63301,"6,36,314","Saint Charles_St. Charles County_MO","St. Charles County_MO","MO","USA"
20029,63303,"3,14,636","Saint Charles_St. Charles County_MO","St. Charles County_MO","MO","USA"
20030,63304,"3,14,636","Saint Charles_St. Charles County_MO","St. Charles County_MO","MO","USA"
20031,63330,573,"Annada_Pike County_MO","Pike County_MO","MO","USA"
20032,63332,636,"Augusta_St. Charles County_MO","St. Charles County_MO","MO","USA"
20033,63333,573,"Bellflower_Montgomery County_MO","Montgomery County_MO","MO","USA"
20034,63334,573,"Bowling Green_Pike County_MO","Pike County_MO","MO","USA"
20035,63336,573,"Clarksville_Pike County_MO","Pike County_MO","MO","USA"
20036,63339,573,"Curryville_Pike County_MO","Pike County_MO","MO","USA"
20037,63341,636,"Defiance_St. Charles County_MO","St. Charles County_MO","MO","USA"
20038,63343,573,"Elsberry_Lincoln County_MO","Lincoln County_MO","MO","USA"
20039,63344,573,"Eolia_Pike County_MO","Pike County_MO","MO","USA"
20040,63345,573,"Farber_Audrain County_MO","Audrain County_MO","MO","USA"
20041,63347,636,"Foley_Lincoln County_MO","Lincoln County_MO","MO","USA"
20042,63348,636,"Foristell_St. Charles County_MO","St. Charles County_MO","MO","USA"
20043,63349,636,"Hawk Point_Lincoln County_MO","Lincoln County_MO","MO","USA"
20044,63350,"5,73,636","High Hill_Montgomery County_MO","Montgomery County_MO","MO","USA"
20045,63351,636,"Jonesburg_Montgomery County_MO","Montgomery County_MO","MO","USA"
20046,63352,573,"Laddonia_Audrain County_MO","Audrain County_MO","MO","USA"
20047,63353,573,"Louisiana_Pike County_MO","Pike County_MO","MO","USA"
20048,63357,636,"Marthasville_Warren County_MO","Warren County_MO","MO","USA"
20049,63359,573,"Middletown_Montgomery County_MO","Montgomery County_MO","MO","USA"
20050,63361,573,"Montgomery City_Montgomery County_MO","Montgomery County_MO","MO","USA"
