importId,currency.id,fullName,isCustomer,invoiceSendingFormatSelect,firstName,partnerTypeSelect,name,user.id,simpleFullName,companies
"DollarDaysInternational,Inc",148,"DollarDays International, Inc",false,emailpaper,DollarDays,1,"DollarDays International, Inc",1,"DollarDays International, Inc",1
AssistanceLeagueofCoachellaValley,148,Assistance League of Coachella Valley,false,emailpaper,Assistance,1,Assistance League of Coachella Valley,1,Assistance League of Coachella Valley,1
TELAMONCORPORATION,148,TELAMON CORPORATION,false,emailpaper,TELAMON,1,TELAMON CORPORATION,1,TELAMON CORPORATION,1
ChelanDouglasChildServicesAssociation,148,Chelan Douglas Child Services Association,false,emailpaper,Chelan,1,Chelan Douglas Child Services Association,1,Chelan Douglas Child Services Association,1
Source1-AllisonWhite,148,Source1- Allison White,false,emailpaper,Source1-,1,Source1- Allison White,1,Source1- Allison White,1
AssistanceLeagueofVentura,148,Assistance League of Ventura,false,emailpaper,Assistance,1,Assistance League of Ventura,1,Assistance League of Ventura,1
CampbellPetCo.-BigCreek,148,Campbell Pet Co. - Big Creek,false,emailpaper,Campbell,1,Campbell Pet Co. - Big Creek,1,Campbell Pet Co. - Big Creek,1
NGS-MalgaInc.,148,NGS- Malga Inc.,false,emailpaper,NGS-,1,NGS- Malga Inc.,1,NGS- Malga Inc.,1
NGS-JYPrinting/NationalPrint&Inv.,148,NGS- JY Printing /National Print & Inv.,false,emailpaper,NGS-,1,NGS- JY Printing /National Print & Inv.,1,NGS- JY Printing /National Print & Inv.,1
CampbellPetCo.-AspenAnimalHospital,148,Campbell Pet Co. - Aspen Animal Hospital,false,emailpaper,Campbell,1,Campbell Pet Co. - Aspen Animal Hospital,1,Campbell Pet Co. - Aspen Animal Hospital,1
NGS-CreativeExpressions,148,NGS- Creative Expressions,false,emailpaper,NGS-,1,NGS- Creative Expressions,1,NGS- Creative Expressions,1
CampbellPetCo.-LIFETIMEPETWELLNESS,148,Campbell Pet Co. - LIFETIME PET WELLNESS,false,emailpaper,Campbell,1,Campbell Pet Co. - LIFETIME PET WELLNESS,1,Campbell Pet Co. - LIFETIME PET WELLNESS,1
CampbellPetCo.-AmigoAnimalClc2010,148,Campbell Pet Co. - Amigo Animal Clc 2010,false,emailpaper,Campbell,1,Campbell Pet Co. - Amigo Animal Clc 2010,1,Campbell Pet Co. - Amigo Animal Clc 2010,1
CampbellPetCo.-DumfriesAnimalHosp.,148,Campbell Pet Co. - Dumfries Animal Hosp.,false,emailpaper,Campbell,1,Campbell Pet Co. - Dumfries Animal Hosp.,1,Campbell Pet Co. - Dumfries Animal Hosp.,1
CampbellPetCo.-PawtownVeterinaryCar,148,Campbell Pet Co. - Pawtown Veterinary Car,false,emailpaper,Campbell,1,Campbell Pet Co. - Pawtown Veterinary Car,1,Campbell Pet Co. - Pawtown Veterinary Car,1
NGS-MGBPROMOTIONS,148,NGS- MGB PROMOTIONS,false,emailpaper,NGS-,1,NGS- MGB PROMOTIONS,1,NGS- MGB PROMOTIONS,1
CampbellPetCo.-SaguaroVeterinary,148,Campbell Pet Co. - Saguaro Veterinary,false,emailpaper,Campbell,1,Campbell Pet Co. - Saguaro Veterinary,1,Campbell Pet Co. - Saguaro Veterinary,1
CampbellPetCo.-MurrellsInletVet.Hos,148,Campbell Pet Co.- Murrells Inlet Vet. Hos,false,emailpaper,Campbell,1,Campbell Pet Co.- Murrells Inlet Vet. Hos,1,Campbell Pet Co.- Murrells Inlet Vet. Hos,1
CampbellPetCo.-BaxterCOAnimalClini,148,Campbell Pet Co. - Baxter CO Animal Clini,false,emailpaper,Campbell,1,Campbell Pet Co. - Baxter CO Animal Clini,1,Campbell Pet Co. - Baxter CO Animal Clini,1
CampbellPetCo.-RedkeyVetClinic,148,Campbell Pet Co. - Redkey Vet Clinic,false,emailpaper,Campbell,1,Campbell Pet Co. - Redkey Vet Clinic,1,Campbell Pet Co. - Redkey Vet Clinic,1
CampbellPetCo.-FourCornersAn.2010,148,Campbell Pet Co. - Four Corners An. 2010,false,emailpaper,Campbell,1,Campbell Pet Co. - Four Corners An. 2010,1,Campbell Pet Co. - Four Corners An. 2010,1
"CampbellPetCo.-""dogsneed""Corp",148,"Campbell Pet Co. - ""dogs need"" Corp",false,emailpaper,Campbell,1,"Campbell Pet Co. - ""dogs need"" Corp",1,"Campbell Pet Co. - ""dogs need"" Corp",1
CampbellPetCo.-SpringBranchVet,148,Campbell Pet Co. - Spring Branch Vet,false,emailpaper,Campbell,1,Campbell Pet Co. - Spring Branch Vet,1,Campbell Pet Co. - Spring Branch Vet,1
CampbellPetCo.-VCACherokeeAn.Hosp.,148,Campbell Pet Co. - VCA Cherokee An. Hosp.,false,emailpaper,Campbell,1,Campbell Pet Co. - VCA Cherokee An. Hosp.,1,Campbell Pet Co. - VCA Cherokee An. Hosp.,1
CampbellPetCo.-UnionVetClinic,148,Campbell Pet Co. - Union Vet Clinic,false,emailpaper,Campbell,1,Campbell Pet Co. - Union Vet Clinic,1,Campbell Pet Co. - Union Vet Clinic,1
CampbellPetCo.-AnimalHosp.ofSanANT,148,Campbell Pet Co.- Animal Hosp. of SanANT,false,emailpaper,Campbell,1,Campbell Pet Co.- Animal Hosp. of SanANT,1,Campbell Pet Co.- Animal Hosp. of SanANT,1
CampbellPetCo.-ThHannahPetSociety,148,Campbell Pet Co. - Th Hannah Pet Society,false,emailpaper,Campbell,1,Campbell Pet Co. - Th Hannah Pet Society,1,Campbell Pet Co. - Th Hannah Pet Society,1
CampbellPetCo.-BAYOUCITYVETHOSPITA,148,Campbell Pet Co. - BAYOU CITY VET HOSPITA,false,emailpaper,Campbell,1,Campbell Pet Co. - BAYOU CITY VET HOSPITA,1,Campbell Pet Co. - BAYOU CITY VET HOSPITA,1
CampbellPetCo.-TerraLindaVet,148,Campbell Pet Co. - Terra Linda Vet,false,emailpaper,Campbell,1,Campbell Pet Co. - Terra Linda Vet,1,Campbell Pet Co. - Terra Linda Vet,1
CampbellPetCo.-BassLake,148,Campbell Pet Co. - Bass Lake,false,emailpaper,Campbell,1,Campbell Pet Co. - Bass Lake,1,Campbell Pet Co. - Bass Lake,1
CampbellPetCo.-AnimalMedCtr-Estes,148,Campbell Pet Co. - Animal Med Ctr-Estes,false,emailpaper,Campbell,1,Campbell Pet Co. - Animal Med Ctr-Estes,1,Campbell Pet Co. - Animal Med Ctr-Estes,1
CampbellPetCo.-AllCreaturesVetCen.,148,Campbell Pet Co. - All Creatures Vet Cen.,false,emailpaper,Campbell,1,Campbell Pet Co. - All Creatures Vet Cen.,1,Campbell Pet Co. - All Creatures Vet Cen.,1
