importId,code,productCategory.id,name,description,salePrice,saleCurrency.code,procurementMethodSelect,productTypeSelect,purchaseCurrency.code,purchasePrice,unit.labelToPrinting,picture.fileName,internalDescription,purchasesUnit.labelToPrinting,costPrice,netMass,massUnit.labelToPrinting,width,length,height,lengthUnit.labelToPrinting,fullName,productAttrs
830-GB-BLK,830-GB-BLK,45,Golf Ball,Titleist Prov1X -New ProV1X balls provide the best short game spin and control with longer distance and more consistent flight. Includes 1-5 COLOR LOGO AND FREE pms COLORS.,4.456,USD,buyAndProduce,storable,USD,4.456,ea,830-GB-BLK.jpg,Titleist Prov1X -New ProV1X balls provide the best short game spin and control with longer distance and more consistent flight. Includes 1-5 COLOR LOGO AND FREE pms COLORS.,ea,,0,lbs,0,0,0,ft,[830-GB-BLK] Golf Ball,"{""partNumber"":""Golf Ball"",""company"":[{""id"":1}],""partDescription"":""Titleist Prov1X -New ProV1X balls provide the best short game spin and control with longer distance and more consistent flight. Includes 1-5 COLOR LOGO AND FREE pms COLORS."",""partDetails"":"""",""upc"":"""",""sizeUom"":{""id"":""4""},""productDetails"":"""",""productUpc"":"""",""productActive"":true,""productTaxable"":true,""vendor"":""Golf Tee Printers"",""vendorPartNumber"":""Golf Ball"",""vendorUom"":{""id"":""4""},""cfpImprinting"":""Delta Dental""}"
110-SC-BLACK,110-SC-BLACK,4,Success Card,The SuccessCard Black -  - 72ct ,44.64,USD,buyAndProduce,storable,USD,44.64,ea,110-SC-BLACK.jpg,The SuccessCard  - 72ct,ea,,1.5,lbs,4,7,3,in,[110-SC-BLACK] Success Card,"{""partNumber"":""Success Card"",""company"":[{""id"":1}],""partDescription"":""The SuccessCard  - 72ct"",""partDetails"":""Ensure your business card is never misplaced. An innovative floss holder that adds value to your next appointment card, business card, or promotional card. Slide your card into the clear sleeve on the front, on the back is 12 yards of floss. Pull the floss & wrap around the cutter. This item is ultra thin & easy to fit into a wallet, purse, or pocket. Increases profitability by reducing missed appointments by 30%. \n\nGreat for any business and event! Comes in baby blue, lime green, white and black. \n\n2\"" w x 2\"" h on back. Pad printed. Price includes 1 color, 1 side, 1 location"",""upc"":"""",""sizeUom"":{""id"":""5""},""productDetails"":""Ensure your business card is never misplaced. An innovative floss holder that adds value to your next appointment card, business card, or promotional card. Slide your card into the clear sleeve on the front, on the back is 12 yards of floss. Pull the floss & wrap around the cutter. This item is ultra thin & easy to fit into a wallet, purse, or pocket. Increases profitability by reducing missed appointments by 30%. \n\nGreat for any business and event! Comes in baby blue, lime green, white and black. \n\n2\"" w x 2\"" h on back. Pad printed. Price includes 1 color, 1 side, 1 location"",""productUpc"":"""",""productActive"":true,""productTaxable"":true,""vendor"":"""",""vendorPartNumber"":"""",""vendorUom"":{""id"":""5""},""cfpImprinting"":""""}"
110-SC-BLACK-CASE,110-SC-BLACK-CASE,4,Success Card-BLAK,The SuccessCard Black -  - 72ct ,56.88,USD,buyAndProduce,storable,USD,56.88,ea,110-SC-BLACK-CASE.jpg,The SuccessCard Black -  - 72ct,ea,,1.5,lbs,4,7,3,in,[110-SC-BLACK-CASE] Success Card-BLAK,"{""partNumber"":""Success Card-BLACK"",""company"":[{""id"":1}],""partDescription"":""The SuccessCard Black -  - 72ct"",""partDetails"":"""",""upc"":"""",""sizeUom"":{""id"":""5""},""productDetails"":""Ensure your business card is never misplaced. An innovative floss holder that adds value to your next appointment card, business card, or promotional card. Slide your card into the clear sleeve on the front, on the back is 12 yards of floss. Pull the floss & wrap around the cutter. This item is ultra thin & easy to fit into a wallet, purse, or pocket. Increases profitability by reducing missed appointments by 30%. \n\nGreat for any business and event! Comes in baby blue, lime green, white and black. \n\n2\"" w x 2\"" h on back. Pad printed. Price includes 1 color, 1 side, 1 location"",""productUpc"":"""",""productActive"":true,""productTaxable"":true,""vendor"":"""",""vendorPartNumber"":"""",""vendorUom"":{""id"":""5""},""cfpImprinting"":""""}"
110-SC-BLU,110-SC-BLU,4,Success Card-BLU,The SuccessCard Blue -  - 72ct ,44.64,USD,buyAndProduce,storable,USD,44.64,ea,110-SC-BLU.jpg,The SuccessCard  - 72ct,ea,,2,lbs,4,7,3,in,[110-SC-BLU] Success Card-BLU,"{""partNumber"":""Success Card-BLU"",""company"":[{""id"":1}],""partDescription"":""The SuccessCard  - 72ct"",""partDetails"":"""",""upc"":"""",""sizeUom"":{""id"":""5""},""productDetails"":""Ensure your business card is never misplaced. An innovative floss holder that adds value to your next appointment card, business card, or promotional card. Slide your card into the clear sleeve on the front, on the back is 12 yards of floss. Pull the floss & wrap around the cutter. This item is ultra thin & easy to fit into a wallet, purse, or pocket. Increases profitability by reducing missed appointments by 30%. \n\nGreat for any business and event! Comes in baby blue, lime green, white and black. \n\n2\"" w x 2\"" h on back. Pad printed. Price includes 1 color, 1 side, 1 location"",""productUpc"":"""",""productActive"":true,""productTaxable"":true,""vendor"":"""",""vendorPartNumber"":"""",""vendorUom"":{""id"":""5""},""cfpImprinting"":""""}"
110-SC-BLU-CASE,110-SC-BLU-CASE,4,Success Card-BLU,The SuccessCard Blue -  - 72ct ,56.88,USD,buyAndProduce,storable,USD,56.88,ea,110-SC-BLU-CASE.jpg,The SuccessCard Blue -  - 72ct,ea,,1.5,lbs,4,7,3,in,[110-SC-BLU-CASE] Success Card-BLU,"{""partNumber"":""Success Card-BLU"",""company"":[{""id"":1}],""partDescription"":""The SuccessCard Blue -  - 72ct"",""partDetails"":"""",""upc"":"""",""sizeUom"":{""id"":""5""},""productDetails"":""Ensure your business card is never misplaced. An innovative floss holder that adds value to your next appointment card, business card, or promotional card. Slide your card into the clear sleeve on the front, on the back is 12 yards of floss. Pull the floss & wrap around the cutter. This item is ultra thin & easy to fit into a wallet, purse, or pocket. Increases profitability by reducing missed appointments by 30%. \n\nGreat for any business and event! Comes in baby blue, lime green, white and black. \n\n2\"" w x 2\"" h on back. Pad printed. Price includes 1 color, 1 side, 1 location"",""productUpc"":"""",""productActive"":true,""productTaxable"":true,""vendor"":"""",""vendorPartNumber"":"""",""vendorUom"":{""id"":""5""},""cfpImprinting"":""""}"
600-110-SC-GRN-DD,600-110-SC-GRN-DD,36,Success Card-GRN-Delta Dental-Tape,The SuccessCard Green-  - 72ct-Delta Dental,0.74,USD,buyAndProduce,storable,USD,0.74,ea,600-110-SC-GRN-DD.jpg,Delta Dental Branded SuccessCard 12 yards TAPE,ea,,0,lbs,0,0,0,ft,[600-110-SC-GRN-DD] Success Card-GRN-Delta Dental-Tape,"{""partNumber"":""Success Card-GRN-DD-Tape"",""company"":[{""id"":1}],""partDescription"":""Delta Dental Branded SuccessCard 12 yards TAPE"",""partDetails"":"""",""upc"":"""",""sizeUom"":{""id"":""4""},""productDetails"":""Ensure your business card is never misplaced. An innovative floss holder that adds value to your next appointment card, business card, or promotional card. Slide your card into the clear sleeve on the front, on the back is 12 yards of floss. Pull the floss & wrap around the cutter. This item is ultra thin & easy to fit into a wallet, purse, or pocket. Increases profitability by reducing missed appointments by 30%. \n\nGreat for any business and event! Comes in baby blue, lime green, white and black. \n\n2\"" w x 2\"" h on back. Pad printed. Price includes 1 color, 1 side, 1 location"",""productUpc"":"""",""productActive"":true,""productTaxable"":true,""vendor"":"""",""vendorPartNumber"":"""",""vendorUom"":{""id"":""4""},""cfpImprinting"":""""}"
110-SC-GRN,110-SC-GRN,4,Success Card-GRN,The SuccessCard Green-  - 72ct ,0.62,USD,buyAndProduce,storable,USD,0.62,ea,110-SC-GRN.jpg,The SuccessCard  - 72ct,ea,,2,lbs,4,7,3,in,[110-SC-GRN] Success Card-GRN,"{""partNumber"":""Success Card-GRN"",""company"":[{""id"":1}],""partDescription"":""The SuccessCard  - 72ct"",""partDetails"":"""",""upc"":"""",""sizeUom"":{""id"":""5""},""productDetails"":""Ensure your business card is never misplaced. An innovative floss holder that adds value to your next appointment card, business card, or promotional card. Slide your card into the clear sleeve on the front, on the back is 12 yards of floss. Pull the floss & wrap around the cutter. This item is ultra thin & easy to fit into a wallet, purse, or pocket. Increases profitability by reducing missed appointments by 30%. \n\nGreat for any business and event! Comes in baby blue, lime green, white and black. \n\n2\"" w x 2\"" h on back. Pad printed. Price includes 1 color, 1 side, 1 location"",""productUpc"":"""",""productActive"":true,""productTaxable"":true,""vendor"":"""",""vendorPartNumber"":"""",""vendorUom"":{""id"":""5""},""cfpImprinting"":""""}"
110-SC-GRN-CASE,110-SC-GRN-CASE,4,Success Card-GRN,The SuccessCard Green-  - 72ct ,56.88,USD,buyAndProduce,storable,USD,56.88,ea,110-SC-GRN-CASE.jpg,The SuccessCard Green -  - 72ct,ea,,1.5,lbs,4,7,3,ft,[110-SC-GRN-CASE] Success Card-GRN,"{""partNumber"":""Success Card-GRN"",""company"":[{""id"":1}],""partDescription"":""The SuccessCard Green -  - 72ct"",""partDetails"":"""",""upc"":"""",""sizeUom"":{""id"":""4""},""productDetails"":""Ensure your business card is never misplaced. An innovative floss holder that adds value to your next appointment card, business card, or promotional card. Slide your card into the clear sleeve on the front, on the back is 12 yards of floss. Pull the floss & wrap around the cutter. This item is ultra thin & easy to fit into a wallet, purse, or pocket. Increases profitability by reducing missed appointments by 30%. \n\nGreat for any business and event! Comes in baby blue, lime green, white and black. \n\n2\"" w x 2\"" h on back. Pad printed. Price includes 1 color, 1 side, 1 location"",""productUpc"":"""",""productActive"":true,""productTaxable"":true,""vendor"":"""",""vendorPartNumber"":"""",""vendorUom"":{""id"":""4""},""cfpImprinting"":""""}"
110-SC-NAVY,110-SC-NAVY,4,Success Card-NAVY,The SuccessCard Navy Blue-  - 72ct ,44.64,USD,buyAndProduce,storable,USD,44.64,ea,110-SC-NAVY.jpg,The SuccessCard  - 72ct,ea,,2,lbs,4,7,3,in,[110-SC-NAVY] Success Card-NAVY,"{""partNumber"":""Success Card-NAVY"",""company"":[{""id"":1}],""partDescription"":""The SuccessCard  - 72ct"",""partDetails"":"""",""upc"":"""",""sizeUom"":{""id"":""5""},""productDetails"":""Ensure your business card is never misplaced. An innovative floss holder that adds value to your next appointment card, business card, or promotional card. Slide your card into the clear sleeve on the front, on the back is 12 yards of floss. Pull the floss & wrap around the cutter. This item is ultra thin & easy to fit into a wallet, purse, or pocket. Increases profitability by reducing missed appointments by 30%. \n\nGreat for any business and event! Comes in baby blue, lime green, white and black. \n\n2\"" w x 2\"" h on back. Pad printed. Price includes 1 color, 1 side, 1 location"",""productUpc"":"""",""productActive"":true,""productTaxable"":true,""vendor"":"""",""vendorPartNumber"":"""",""vendorUom"":{""id"":""5""},""cfpImprinting"":""""}"
110-SC-RED,110-SC-RED,4,Success Card-RED,The SuccessCard Red-  - 72ct ,44.64,USD,buyAndProduce,storable,USD,44.64,ea,110-SC-RED.jpg,The SuccessCard  - 72ct,ea,,2,lbs,4,7,3,in,[110-SC-RED] Success Card-RED,"{""partNumber"":""Success Card-RED"",""company"":[{""id"":1}],""partDescription"":""The SuccessCard  - 72ct"",""partDetails"":"""",""upc"":"""",""sizeUom"":{""id"":""5""},""productDetails"":""Ensure your business card is never misplaced. An innovative floss holder that adds value to your next appointment card, business card, or promotional card. Slide your card into the clear sleeve on the front, on the back is 12 yards of floss. Pull the floss & wrap around the cutter. This item is ultra thin & easy to fit into a wallet, purse, or pocket. Increases profitability by reducing missed appointments by 30%. \n\nGreat for any business and event! Comes in baby blue, lime green, white and black. \n\n2\"" w x 2\"" h on back. Pad printed. Price includes 1 color, 1 side, 1 location"",""productUpc"":"""",""productActive"":true,""productTaxable"":true,""vendor"":"""",""vendorPartNumber"":"""",""vendorUom"":{""id"":""5""},""cfpImprinting"":""""}"
