product.code,importId,qty,unit.id,productName,saleSupplySelect,deliveredQty,price,companyExTaxTotal,inTaxPrice,exTaxTotal
600-236-DD,839-source1- TDA Nejay/600-236-DD,1,1,600-236-DD,1,1,76.61,76.61,76.61,76.61
100-236-Z,844- Source1Nejay TDA/100-236-Z,1,1,100-236-Z,1,1,76.61,76.61,76.61,76.61
010-ZM-PLACARD,403- Dr. Eric Block/010-ZM-PLACARD,NaN,1,010-ZM-PLACARD,1,NaN,NaN,NaN,NaN,NaN
300-DDIA-PRO,1505-10 (corrected)/300-DDIA-PRO,99,1,300-DDIA-PRO,1,99,48.03,4754.97,48.03,4754.97
600-100-448-DD,TEST-PRE-PAID/600-100-448-DD,5750,1,600-100-448-DD,1,5750,0,0,0,0
600-110-FLOSS-M-DD,TEST-PRE-PAID/600-110-FLOSS-M-DD,5750,1,600-110-FLOSS-M-DD,1,5750,0,0,0,0
830-POUCH-CL,TEST-PRE-PAID/830-POUCH-CL,5750,1,830-POUCH-CL,1,5750,0,0,0,0
300-DDIA-PRO,TEST-2102/300-DDIA-PRO,2,1,300-DDIA-PRO,1,2,48.03,96.06,48.03,96.06
600-100-448-DD,RMA 35-03/600-100-448-DD,0,1,600-100-448-DD,1,0,0,0,0,0
600-100-448-DD,RMA 35-02/600-100-448-DD,2,1,600-100-448-DD,1,2,0,0,0,0
600-100-448-DD,RMA 34-02/600-100-448-DD,2,1,600-100-448-DD,1,2,0,0,0,0
100-202-Z,ZWC-6673/100-202-Z,2,1,100-202-Z,1,2,69.12,138.24,69.12,138.24
100-ZS-PULSE-MBR,WC-26178/100-ZS-PULSE-MBR,2,1,100-ZS-PULSE-MBR,1,2,59.95,119.9,59.95,119.9
500-900-MASK-FREE,WC-26178/500-900-MASK-FREE,1,1,500-900-MASK-FREE,1,1,0,0,0,0
100-ZS-PULSE-MBR,WC-26176/100-ZS-PULSE-MBR,1,1,100-ZS-PULSE-MBR,1,1,59.95,59.95,59.95,59.95
310-ZS-CLASSIC-RH-4CT,WC-26168/310-ZS-CLASSIC-RH-4CT,1,1,310-ZS-CLASSIC-RH-4CT,1,1,43.8,43.8,43.8,43.8
100-TBCAP,WC-26168/100-TBCAP,1,1,100-TBCAP,1,1,0,0,0,0
